Signature Div.,Transition Cov.,Action Inconsist.,Mutual Info.,task,method,split,n_epi
8.893787011372973,1.4844504011560495,0.4910936141287703,0.8846007052834164,T7,Ours,40,40
9.608936258961887,0.6136605216408144,0.5003877076539733,0.831628547061495,T7,Ours,60,60
10.882186792825859,0.7991954099122491,0.5236354838799676,0.728176154299252,T7,Ours,80,80
10.720429614803482,0.21773062534669663,0.5167744237764221,0.7403219036886703,T7,Ours,100,100
8.71520742639597,-3.6138040603337673,0.32661014304543556,1.7431057701559656,T9,teleop,20,20
11.85904119071389,-1.6120767116496273,0.3400550386141531,1.3150909489198455,T9,teleop,40,40
12.896494240044468,-1.7781838076320158,0.32786347377747094,1.1442592163046488,T9,teleop,60,60
13.593611468773869,-1.6326771334437877,0.3315029130043165,1.1033184980737918,T9,teleop,80,80
14.048188909897123,-1.80413091404803,0.3452561735971943,1.0845021336425296,T9,teleop,100,100
4.952498699099346,-7.1370166523068805,0.30862516604143103,1.9462175325967994,T9,CaP,20,20
5.5351168049119,-8.384216181286973,0.24914685182127708,2.116831088398918,T9,CaP,40,40
5.8715872427934945,-9.155327063291754,0.23383641499776148,2.0947831561618067,T9,CaP,60,60
5.922556223403664,-9.658710126112162,0.22536740117090304,2.170550313310522,T9,CaP,80,80
6.202178631993358,-10.158458176756277,0.22412578394499325,2.020392448062597,T9,CaP,100,115
7.06902851214247,-6.3094130358827885,0.22910186967857815,1.410448724543615,T9,Ours,20,20
8.496838478483838,-5.514802085006642,0.25176218279321066,1.2412468209730312,T9,Ours,40,40
9.49236353843211,-5.604253235191583,0.26300312446160684,1.219771158949932,T9,Ours,60,60
9.757987662994235,-5.397384416930623,0.287213011874101,1.1998170218607545,T9,Ours,80,80
10.063077715472756,-5.442783522830873,0.2851934336962514,1.2509303614681873,T9,Ours,100,100
5.414754478727414,-2.252736220286656,0.40881672435100413,1.0774875423514203,T10,teleop,20,20
6.406984904372438,-1.7119843436309017,0.4233908569660193,1.0203115135681937,T10,teleop,40,40
7.428379976897929,-1.912851761863819,0.41996091671594765,1.0684790040237528,T10,teleop,60,60
8.433243241020929,-2.497362260161066,0.40141043810530536,1.0487004479071684,T10,teleop,80,80
9.190463636032508,-2.473713662403571,0.40978545929184185,1.072000362139808,T10,teleop,100,100
2.8837358994207456,-16.160955621378157,0.234632255388049,2.679949830301662,T10,CaP,20,20
3.3482416606985184,-16.031076174168554,0.19362908001802714,2.605423723082674,T10,CaP,40,40
3.647226877233877,-16.179292988532357,0.18504432368081783,2.6455154481134295,T10,CaP,60,60
3.6550839748278516,-16.60981168504184,0.19933498285043866,2.6521067455658036,T10,CaP,80,80
3.8836437038865848,-16.550351212027852,0.18784060378479064,2.6383750888114896,T10,CaP,100,100
6.608232075347556,-0.7976488784934839,0.6362078160474435,1.2864474595912005,T10,Ours,20,20
7.540070530997449,0.5253272238681141,0.5994086209702595,0.9731146689199397,T10,Ours,40,40
8.08309986626711,0.3815718675756914,0.591482353612764,0.8749421932170378,T10,Ours,60,60
8.01397751325007,0.46779719797403896,0.5689957682018929,0.813731684856366,T10,Ours,80,80
9.061484008576707,1.0778232817719138,0.5953499302890877,0.7402113670830062,T10,Ours,100,100
